scenario,take_uid,tracked_object,camera,n_annotated_frames,frame_span,temporal_density
cooking,96d772ac-01e0-4e53-85e5-4ce45e58b6f1,Stainless Steel Flat Plate_0,cam01,282,8430,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,bowl of milk_0,aria01_214-1,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,bowl of milk_0,cam01,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,cloth napkin_0,aria01_214-1,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,cloth napkin_0,cam01,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plastic container of sugar_0,aria01_214-1,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plastic container of sugar_0,cam01,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plate_0,aria01_214-1,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,plate_0,cam01,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,saucepan_0,aria01_214-1,77,2280,1.0
cooking,a0179553-bc47-441f-a83e-ae6e021032e0,saucepan_0,cam01,77,2280,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,chopping board_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,egg carton_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,egg carton_0,gp03,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen knife_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen knife_0,gp02,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen paper_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,kitchen paper_0,gp03,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,leek package_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,leek package_0,gp01,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,nonstick frying pan_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,nonstick frying pan_0,gp03,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,scrambled egg_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,scrambled egg_0,gp01,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti tong_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,spaghetti_0,gp02,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,stainless steel fork_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,stainless steel fork_0,gp01,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,white ceramic plate_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,white cereal bowl_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,wooden spatula_0,aria01_214-1,504,15090,1.0
cooking,f1bdf9f3-4f65-4c70-b8ba-b3d4607c0cff,wooden spatula_0,gp02,504,15090,1.0
health,04d87074-8116-4f09-b6e5-10670c9e772d,CPR dummy,aria02_214-1,71,2100,1.0
health,04d87074-8116-4f09-b6e5-10670c9e772d,CPR dummy,cam01,71,2100,1.0
health,0827f0fc-4f33-4a6e-b7b3-89165585d79f,CPR dummy,aria02_214-1,100,2970,1.0
health,0827f0fc-4f33-4a6e-b7b3-89165585d79f,CPR dummy,cam01,100,2970,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 antigen test package_0,aria02_214-1,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 antigen test package_0,cam01,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test card pack_0,aria02_214-1,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test card pack_0,cam01,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab pack_0,aria02_214-1,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab pack_0,cam01,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab_0,aria02_214-1,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test nasal swab_0,cam01,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test solution tube_0,aria02_214-1,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,covid-19 test solution tube_0,cam01,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,white table_0,aria02_214-1,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,yellow scissor_0,aria02_214-1,171,5100,1.0
health,40dc3bbc-c8c4-4e6d-a2a5-32a357f3c291,yellow scissor_0,cam01,171,5100,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Covid-19 Test Pack_0,aria01_214-1,196,5850,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Covid-19 Test Pack_0,cam01,196,5850,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Disposable swab package_0,aria01_214-1,196,5850,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Disposable swab package_0,cam01,196,5850,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Solution Tube Package_0,aria01_214-1,196,5850,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Solution Tube Package_0,cam01,196,5850,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Test Device_0,aria01_214-1,196,5850,1.0
health,45cb84f9-a925-43f8-aa7e-0fba6e23a86e,Test Device_0,cam01,196,5850,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex rapid antigen test kit_0,aria01_214-1,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex rapid antigen test kit_0,cam03,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_0,aria01_214-1,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_0,cam01,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_1,aria01_214-1,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,Flowflex test kit instruction manual_1,cam03,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,digital timer_0,aria01_214-1,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,digital timer_0,cam03,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,sterile swab package_0,aria01_214-1,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,sterile swab package_0,cam03,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_0,aria01_214-1,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_0,cam01,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_1,aria01_214-1,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_1,cam03,512,15330,1.0
health,6d1847fe-d2d2-4a11-80fb-1cf5ff6d965a,test cassette package_2,aria01_214-1,512,15330,1.0
health,77b1cae6-7e57-47f9-83ae-c68243792d36,CPR dummy,aria01_214-1,93,2760,1.0
health,77b1cae6-7e57-47f9-83ae-c68243792d36,CPR dummy,cam01,93,2760,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_0,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_0,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_1,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_1,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_2,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab pack_2,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab_0,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,disposable sterile swab_0,cam04,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit manual_0,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit manual_0,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit_0,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,rapid antigen test kit_0,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,solution tube pack_0,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,solution tube pack_0,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_0,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_0,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_1,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_1,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_2,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_2,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_3,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette pack_3,cam03,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette_0,aria02_214-1,245,7320,1.0
health,8e3c3065-f05d-4ce2-af8e-f6bbd58d4383,test cassette_0,cam03,245,7320,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,buffer tube with package_0,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,buffer tube with package_0,cam03,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,covid-19 rapid antigen test kit _0,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,instruction manual_0,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,instruction manual_0,cam02,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab _0,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab _0,cam02,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab pack_0,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,sterile swab pack_0,cam02,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette _0,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette _0,cam02,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_0,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_0,cam02,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_1,aria01_214-1,161,4800,1.0
health,c4c0e97d-135b-4dec-b736-e184442bd42e,test cassette pack_1,cam02,161,4800,1.0
health,dc1600e9-dd79-4700-882a-9f53cdd29d20,CPR dummy,aria01_214-1,93,2760,1.0
health,dc1600e9-dd79-4700-882a-9f53cdd29d20,CPR dummy,cam01,93,2760,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,covid 19 test package_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,covid 19 test package_0,cam02,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube package_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube package_0,cam02,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,extraction buffer tube_0,cam03,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,instruction manual_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package pack_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package pack_0,cam03,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,sterile swab package_0,cam03,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device package_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device package_0,cam03,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device_0,aria01_214-1,337,10080,1.0
health,e469c7e2-bcbd-4cf6-97d7-3f3562e5c1a9,test device_0,cam03,337,10080,1.0
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,sheet music,aria01_214-1,320,9570,1.0
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,sheet music,gp02,32,9300,0.1029
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,violin,gp03,32,9300,0.1029
music,2bb3f8db-a6b0-49b8-8c0f-686774acf00a,violin bow,gp01,32,9300,0.1029
music,2f6dc326-3689-4190-a8f8-674a5e6d688b,piano,aria01_214-1,39,11400,0.1024
music,2f6dc326-3689-4190-a8f8-674a5e6d688b,piano,gp01,39,11400,0.1024
music,2fe390a8-1506-4420-9008-74199f92797b,guitar,aria01_214-1,277,8280,1.0
music,2fe390a8-1506-4420-9008-74199f92797b,guitar,gp03,28,8100,0.1033
music,2fe390a8-1506-4420-9008-74199f92797b,sheet music,aria01_214-1,277,8280,1.0
music,2fe390a8-1506-4420-9008-74199f92797b,sheet music,gp03,28,8100,0.1033
music,2fe390a8-1506-4420-9008-74199f92797b,sheet music stand,gp01,28,8100,0.1033
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,guitar,aria01_214-1,233,6960,1.0
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,guitar,gp04,24,6900,0.1039
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,aria01_214-1,233,6960,1.0
music,464c4a51-a74f-4ff4-9ece-8d38b9c22bfc,sheet music,gp04,24,6900,0.1039
music,989b038e-d46c-4433-b968-87b58a4c7037,piano,aria01_214-1,71,21000,0.1013
music,989b038e-d46c-4433-b968-87b58a4c7037,piano,gp04,71,21000,0.1013
music,b0844d48-90da-4073-9e03-fb8aef700f40,sheet music,aria01_214-1,807,24180,1.0
music,b0844d48-90da-4073-9e03-fb8aef700f40,sheet music,gp03,81,24000,0.1011
music,b0844d48-90da-4073-9e03-fb8aef700f40,sheet music stand,gp03,81,24000,0.1011
music,b0844d48-90da-4073-9e03-fb8aef700f40,violin,gp01,81,24000,0.1011
music,b0844d48-90da-4073-9e03-fb8aef700f40,violin bow,gp03,81,24000,0.1011
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,sheet music,aria01_214-1,793,23760,1.0
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,sheet music,gp01,80,23700,0.1011
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,sheet music stand,gp01,80,23700,0.1011
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,violin,gp03,80,23700,0.1011
music,bf74fe65-12af-4d4e-a7a6-7885c854ae49,violin bow,gp02,80,23700,0.1011
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,guitar,gp01,75,22200,0.1012
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,sheet music,aria01_214-1,745,22320,1.0
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,sheet music,gp04,75,22200,0.1012
music,c47b2e19-8a8f-4594-9144-8b7be780ab74,sheet music stand,gp03,75,22200,0.1012
music,d2218738-2af2-4585-bd1c-af8ad10d7827,guitar,aria01_214-1,273,8160,1.0
music,d2218738-2af2-4585-bd1c-af8ad10d7827,guitar,gp01,28,8100,0.1033
music,d2218738-2af2-4585-bd1c-af8ad10d7827,sheet music,aria01_214-1,273,8160,1.0
music,d2218738-2af2-4585-bd1c-af8ad10d7827,sheet music,gp04,28,8100,0.1033
music,d2218738-2af2-4585-bd1c-af8ad10d7827,sheet music stand,gp04,28,8100,0.1033
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,guitar,aria01_214-1,212,6330,1.0
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,guitar,gp01,22,6300,0.1043
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,sheet music,aria01_214-1,212,6330,1.0
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,sheet music,gp01,22,6300,0.1043
music,e3cb859e-73ca-4cef-8c08-296bafdb43cd,sheet music stand,gp01,22,6300,0.1043
